x,AccuLevel,DetectorLoad,AccuControl,Setpoint,AccuTsat
6176.68,72.9061,34.6355,103.3685,,29.1815
6178.25,72.8708,34.6451,101.8549,,29.1822
6182.49,72.7712,34.671,103.3117,,29.1842
6184.56,72.72,34.6809,104.1734,,29.1853
6189.29,72.5936,34.7033,104.1997,,29.188
6198.51,72.2837,34.7471,104.2663,,29.1948
6203.46,72.0596,34.7707,104.3928,,29.1995
6205.25,71.9692,34.7791,104.4357,,29.2014
6212.91,71.5641,34.8155,104.4834,,29.2112
6217.4,71.3613,34.8368,104.4496,,29.2183
6225.51,71.1097,34.8754,104.4393,,29.2344
6231.81,70.9087,34.9053,104.0177,,29.2502
6236.29,70.7053,34.9266,102.9985,,29.2636
6241.25,70.394,34.9501,102.3576,,29.2806
6241.25,70.3933,34.9501,103.6136,,29.2807
6245.94,70.0376,34.9724,98.3498,,29.2991
6245.95,70.0366,34.9725,100.0624,,29.2992
6255.18,69.2881,35.0163,92.5938,,29.3429
6256.92,69.1589,35.0245,91.5227,,29.3523
6256.94,69.157,35.0246,95.2143,,29.3524
6263.2,68.7628,35.0544,89.9593,,29.3897
6266.37,68.6041,35.0694,92.5648,,29.4106
6267.9,68.5352,35.0767,85.7992,,29.4212
6271.03,68.4052,35.0916,83.4191,,29.4439
6271.06,68.4041,35.0917,87.3771,,29.4442
6272.59,68.3449,35.099,81.2586,,29.4558
6274.07,68.2896,35.106,78.5566,,29.4675
6274.15,68.2869,35.1064,78.5272,,29.468
6282,68.0138,35.1436,75.3741,,29.5353
6283.56,67.9616,35.1511,73.6703,,29.5499
6289.85,67.7542,35.1809,72.145,,29.6124
6291.41,67.7029,35.1883,70.0605,,29.6289
6292.97,67.6514,35.1957,67.9,,29.6458
6297.67,67.4946,35.2181,64.8817,,29.6992
