x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,Setpoint,AccuTsat
3140.73,45.611,33.948,17.547,68.466,,-23.038
3142.24,45.589,33.95,17.548,59.713,,-23.031
3142.26,45.589,33.95,17.548,63.328,,-23.031
3143.84,45.564,33.952,17.548,65.079,,-23.023
3153.3,45.374,33.961,17.55,69.265,,-22.964
3162.56,45.061,33.97,17.551,69.813,,-22.884
3165.88,44.822,33.973,17.552,69.76,,-22.848
3166.73,44.718,33.974,17.552,69.752,,-22.839
3170.42,44.186,33.978,17.552,69.732,,-22.792
3186.13,43.197,33.993,17.555,69.79,,-22.524
3197.13,42.093,34.004,17.557,69.909,,-22.265
3197.33,42.071,34.004,17.557,69.912,,-22.26
3206.55,41.218,34.014,17.558,69.935,,-22.001
3210.24,40.864,34.017,17.559,69.922,,-21.889
3213.05,40.594,34.017,17.56,69.913,,-21.803
3226.63,39.359,34.013,17.562,69.875,,-21.388
3230.12,39.125,34.012,17.562,69.866,,-21.288
3230.12,39.848,34.012,17.562,69.866,,-21.288
3247.4,37.908,34.008,17.565,69.829,,-20.831
3266.26,36.88,34.003,17.568,69.796,,-20.365
3283.54,35.739,33.999,17.571,69.775,,-19.937
3299.01,34.976,33.995,17.573,69.763,,-19.545
3308.68,34.521,33.993,17.575,69.761,,-19.294
3316.79,34.095,33.991,17.576,69.762,,-19.08
3333.82,33.114,33.987,17.578,69.774,,-18.626
3363.68,31.668,33.98,17.582,69.824,,-17.813
3399.74,30.649,33.971,17.587,69.902,,-16.806
3402.97,30.564,33.97,17.588,69.909,,-16.714
3413.82,30.273,33.967,17.589,69.929,,-16.402
3429.98,29.837,33.963,17.591,69.953,,-15.928
3448.55,29.385,33.959,17.593,69.972,,-15.368
3486.2,28.703,33.95,17.597,69.987,,-14.257
3495.71,28.548,33.947,17.598,69.988,,-13.993
3539.72,27.864,33.936,17.603,69.977,,-12.824
3576.17,27.467,33.927,17.606,69.955,,-11.875
3577.44,27.446,33.927,17.606,69.954,,-11.842
3581.04,27.379,33.926,17.606,69.951,,-11.749
3584.56,27.305,33.925,17.606,69.948,,-11.657
3605.73,26.761,33.932,17.608,69.931,,-11.102
3626.16,26.457,33.938,17.609,69.912,,-10.562
3667.05,25.772,33.949,17.612,69.871,,-9.461
3678.38,25.606,33.953,17.612,69.86,,-9.15
3695.34,25.354,33.958,17.613,69.845,,-8.679
3698.8,25.295,33.959,17.613,69.842,,-8.583
3737.76,24.517,33.97,17.614,69.83,,-7.506
3758.24,24.073,33.976,17.615,69.863,,-6.974
3759.76,24.061,33.976,17.615,69.87,,-6.937
3761.69,24.047,33.977,17.615,69.881,,-6.891
3775.81,23.976,33.981,17.615,69.957,,-6.573
3810.07,23.795,33.991,17.615,69.776,,-5.917
3816.68,23.736,33.993,17.615,69.919,,-5.793
3818.14,23.721,33.993,17.615,69.996,,-5.765
3819.83,23.704,33.994,17.615,69.615,,-5.733
3830.75,23.583,33.997,17.615,62.232,,-5.523
3830.77,23.582,33.997,17.615,65.239,,-5.523
3832.4,23.565,33.998,17.615,68.664,,-5.492
3843.29,23.473,34.001,17.615,56.98,,-5.284
3843.31,23.473,34.001,17.615,60.063,,-5.283
3844.85,23.466,34.001,17.615,51.881,,-5.254
3850.94,23.453,34.003,17.615,47.639,,-5.14
3852.65,23.454,34.003,17.615,46.477,,-5.108
3854.2,23.457,34.004,17.615,39.969,,-5.079
3863.57,23.505,34.007,17.614,31.331,,-4.908
3871.38,23.577,34.009,17.614,27.715,,-4.77
3880.74,23.696,34.012,17.614,17.669,,-4.611
3893.36,23.91,34.015,17.613,8.772,,-4.409
3894.84,23.94,34.016,17.613,7.66,,-4.387
3913.6,24.463,34.021,17.613,-7.372,,-4.126
3917.97,24.626,34.022,17.612,-10.072,,-4.073
3920.12,24.71,34.023,17.612,-11.286,,-4.048
3927.22,24.995,34.025,17.612,-14.998,,-3.971
3932.39,25.213,34.024,17.612,-17.799,,-3.921
3937.05,25.42,34.024,17.611,-22.366,,-3.88
3943.68,25.737,34.023,17.611,-25.288,,-3.828
3946.45,25.881,34.023,17.611,-27.009,,-3.809
3951.15,26.141,34.022,17.61,-32.222,,-3.779
3965.7,26.993,34.02,17.609,-33.424,,-3.706
3973.15,27.418,34.019,17.609,-33.63,,-3.679
3992.01,28.444,34.016,17.607,-34.81,,-3.632
3995.61,28.63,34.016,17.607,-35.168,,-3.626
4004.58,29.076,34.015,17.606,-36.065,,-3.614
4019.17,29.81,34.013,17.605,-37.147,,-3.6
4026.57,30.22,34.011,17.604,-37.398,,-3.595
4037.75,30.836,34.01,17.603,-36.839,,-3.588
4040.7,30.992,34.01,17.603,-36.484,,-3.587
4049.08,31.409,34.008,17.602,-35.933,,-3.582
4054.88,31.676,34.008,17.601,-35.722,,-3.58
4086.82,33.084,34.003,17.597,-34.562,,-3.568
4092.62,33.377,34.002,17.597,-34.314,,-3.567
4102.06,33.892,34.001,17.595,-33.362,,-3.565
4116.2,34.659,33.999,17.594,-32.144,,-3.562
4116.67,34.682,33.999,17.593,-32.126,,-3.562
4144.5,35.82,33.995,17.589,-31.345,,-3.56
4151.27,36.053,33.994,17.588,-30.947,,-3.56
4164.97,36.501,33.992,17.586,-29.518,,-3.561
4183.85,37.092,33.99,17.583,-27.273,,-3.564
4198.44,37.538,33.988,17.581,-26.047,,-3.568
4202.73,37.668,33.987,17.58,-25.75,,-3.569
4227.84,38.425,33.984,17.575,-24.342,,-3.579
4242.37,38.854,33.982,17.573,-24.016,,-3.586
4250.02,39.076,33.981,17.571,-23.949,,-3.59
4253.45,39.175,33.98,17.571,-23.929,,-3.592
4254.6,39.207,33.979,17.57,-23.923,,-3.593
4278.16,39.817,33.971,17.566,-23.428,,-3.609
4292.34,40.091,33.966,17.563,-21.487,,-3.621
4308.51,40.317,33.961,17.56,-20.227,,-3.635
4325.35,40.484,33.955,17.556,-19.089,,-3.651
4345.83,40.63,33.948,17.552,-17.034,,-3.673
4367.85,40.741,33.94,17.547,-14.331,,-3.698
4391.81,40.813,33.932,17.542,-12.427,,-3.727
4394.57,40.818,33.931,17.542,-12.124,,-3.73
4411.9,40.833,33.925,17.538,-9.916,,-3.752
4454.34,40.797,33.911,17.53,-8.279,,-3.808
4462.24,40.788,33.908,17.528,-6.377,,-3.819
4466.95,40.784,33.906,17.527,-6.103,,-3.825
4476.7,40.775,33.903,17.525,-5.774,,-3.838
