x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
4004.58,29.076,34.014,17.606,-36.066,-3.614
4019.18,29.81,34.012,17.605,-37.147,-3.6
4026.58,30.22,34.011,17.604,-37.398,-3.595
4037.75,30.836,34.01,17.603,-36.839,-3.588
4040.71,30.992,34.009,17.603,-36.484,-3.587
4049.08,31.409,34.008,17.602,-35.933,-3.583
4054.89,31.676,34.007,17.601,-35.723,-3.58
4086.83,33.084,34.003,17.597,-34.562,-3.569
4092.63,33.377,34.002,17.597,-34.314,-3.567
4102.07,33.892,34.001,17.595,-33.363,-3.565
4116.2,34.658,33.999,17.593,-32.145,-3.563
4116.68,34.682,33.999,17.593,-32.126,-3.563
4144.51,35.82,33.995,17.589,-31.345,-3.561
4151.28,36.053,33.994,17.588,-30.948,-3.561
4164.98,36.501,33.992,17.586,-29.518,-3.562
4183.86,37.092,33.99,17.583,-27.273,-3.565
4198.45,37.537,33.988,17.58,-26.048,-3.569
4202.74,37.668,33.987,17.58,-25.75,-3.57
4227.85,38.425,33.984,17.575,-24.342,-3.579
4242.37,38.854,33.982,17.572,-24.016,-3.586
4250.03,39.076,33.981,17.571,-23.949,-3.59
4253.46,39.174,33.979,17.57,-23.929,-3.592
4254.6,39.207,33.979,17.57,-23.923,-3.593
4278.16,39.817,33.971,17.566,-23.428,-3.609
4292.35,40.091,33.966,17.563,-21.487,-3.62
4308.51,40.317,33.961,17.559,-20.227,-3.633
4325.36,40.484,33.955,17.556,-19.089,-3.649
4345.83,40.63,33.948,17.552,-17.034,-3.67
4367.86,40.74,33.94,17.547,-14.332,-3.694
4391.81,40.812,33.932,17.542,-12.428,-3.723
4394.58,40.817,33.931,17.542,-12.124,-3.727
4411.91,40.833,33.925,17.538,-9.916,-3.749
4454.35,40.797,33.91,17.53,-8.28,-3.807
4462.24,40.788,33.908,17.528,-6.377,-3.818
4466.95,40.783,33.906,17.527,-6.104,-3.825
4476.71,40.775,33.903,17.525,-5.775,-3.839
4489.12,40.768,33.899,17.523,-5.489,-3.858
4504.67,40.763,33.893,17.52,-5.196,-3.881
4537.72,40.761,33.882,17.515,-4.435,-3.929
4554.99,40.763,33.876,17.512,-3.445,-3.952
4573.87,40.767,33.869,17.509,-2.265,-3.977
4607.21,40.777,33.858,17.504,-1.701,-4.015
4608.46,40.777,33.858,17.504,-1.694,-4.017
4649.33,40.792,33.844,17.498,-1.732,-4.05
4656.07,40.795,33.841,17.497,-1.77,-4.054
4686.54,40.806,33.845,17.493,-1.863,-4.064
4691.75,40.807,33.846,17.493,-1.845,-4.065
4723.5,40.816,33.85,17.489,-1.628,-4.061
4742.06,40.818,33.852,17.486,-1.617,-4.055
4786.07,40.818,33.858,17.481,-2.606,-4.036
4826.94,40.817,33.864,17.476,-3.442,-4.024
4836.69,40.817,33.865,17.475,-3.163,-4.024
4859.99,40.818,33.868,17.472,-2.186,-4.029
